Entity,Code,Year,Life Expectancy at Birth,GDP per capita
Albania,ALB,2008,76.281,5010.031778
Algeria,DZA,2008,70.261,3447.419145
Angola,AGO,2008,49.626,1599.10097
Antigua and Barbuda,ATG,2008,74.996,#N/A
Argentina,ARG,2008,75.319,9971.923685
Armenia,ARM,2008,74.001,11647.33762
Aruba,ABW,2008,74.721,#N/A
Australia,AUS,2008,81.49,25218.30189
Austria,AUT,2008,80.39,24565.4845
Azerbaijan,AZE,2008,70.122,7870.788527
Bahamas,BHS,2008,74.313,#N/A
Bahrain,BHR,2008,75.844,4860.098001
Bangladesh,BGD,2008,68.423,1174.221962
Barbados,BRB,2008,74.456,#N/A
Belarus,BLR,2008,70.4,12638.33437
Belgium,BEL,2008,79.59,23701.29614
Belize,BLZ,2008,72.656,#N/A
Benin,BEN,2008,58.204,1393.839378
Bhutan,BTN,2008,65.735,#N/A
Bolivia,BOL,2008,65.556,2949.908658
Bosnia and Herzegovina,BIH,2008,75.516,#N/A
Botswana,BWA,2008,46.529,4768.837652
Brazil,BRA,2008,72.424,6542.011779
Brunei,BRN,2008,77.461,#N/A
Bulgaria,BGR,2008,73.29,9278.931469
Burkina Faso,BFA,2008,53.966,1182.091539
Burundi,BDI,2008,51.323,479.1160516
Cambodia,KHM,2008,69.507,2392.221547
Cameroon,CMR,2008,52.73,1173.894515
Canada,CAN,2008,80.9,25262.07114
Cape Verde,CPV,2008,73.164,2735.37581
Central African Republic,CAF,2008,46.448,#N/A
Chad,TCD,2008,48.677,705.742475
Channel Islands,OWID_CIS,2008,79.5,#N/A
Chile,CHL,2008,78.27,13479.08481
China,CHN,2008,74.44,6724.7797
Colombia,COL,2008,72.887,6839.710912
Comoros,COM,2008,59.655,#N/A
Congo,COG,2008,55.679,#N/A
Costa Rica,CRI,2008,78.78,7990.361249
Cote d'Ivoire,CIV,2008,48.71,#N/A
Croatia,HRV,2008,76.091,10724.55588
Cuba,CUB,2008,78.274,3763.655462
Curacao,CUW,2008,76.117,#N/A
Cyprus,CYP,2008,78.964,#N/A
Czech Republic,CZE,2008,77.17,#N/A
Democratic Republic of Congo,COD,2008,48.271,#N/A
Denmark,DNK,2008,78.72,24788.59996
Djibouti,DJI,2008,59.05,1254.392844
Dominican Republic,DOM,2008,72.173,#N/A
Ecuador,ECU,2008,74.993,5004.960127
Egypt,EGY,2008,69.916,4037.70757
El Salvador,SLV,2008,71.284,2940.418907
Equatorial Guinea,GNQ,2008,50.088,22048.50606
Eritrea,ERI,2008,59.951,#N/A
Estonia,EST,2008,74.19,21432.20073
Ethiopia,ETH,2008,59.259,#N/A
Fiji,FJI,2008,68.804,#N/A
Finland,FIN,2008,79.7,24694.05787
France,FRA,2008,81.06,22057.35045
French Guiana,GUF,2008,75.888,#N/A
French Polynesia,PYF,2008,75.006,#N/A
Gabon,GAB,2008,61.319,3811.332641
Gambia,GMB,2008,57.452,1042.948745
Georgia,GEO,2008,73.511,5996.858021
Germany,DEU,2008,79.96,20801.43744
Ghana,GHA,2008,60.024,1788.67444
Greece,GRC,2008,80,15777.51002
Grenada,GRD,2008,71.999,#N/A
Guadeloupe,GLP,2008,79.378,#N/A
Guam,GUM,2008,77.355,#N/A
Guatemala,GTM,2008,70.26,4491.117717
Guinea,GIN,2008,54.465,627.6443534
Guinea-Bissau,GNB,2008,52.993,#N/A
Guyana,GUY,2008,65.238,#N/A
Haiti,HTI,2008,60.674,#N/A
Honduras,HND,2008,72.051,2323.1104
Hong Kong,HKG,2008,82.368,29810.23959
Hungary,HUN,2008,74.06,8825.764834
Iceland,ISL,2008,81.45,#N/A
India,IND,2008,64.925,2951.612471
Indonesia,IDN,2008,69.58,#N/A
Iran,IRN,2008,72.258,6013.001898
Iraq,IRQ,2008,68.495,1597.501671
Ireland,IRL,2008,79.75,24324.28598
Israel,ISR,2008,81.04,18748.95393
Italy,ITA,2008,81.58,#N/A
Jamaica,JAM,2008,72.24,3833.368979
Japan,JPN,2008,82.75,22175.12447
Jordan,JOR,2008,72.993,5466.899188
Kazakhstan,KAZ,2008,65.716,10638.79913
Kenya,KEN,2008,57.231,1112.576804
Kiribati,KIR,2008,67.116,#N/A
Kuwait,KWT,2008,73.768,13657.77034
Kyrgyzstan,KGZ,2008,66.717,2965.256004
Laos,LAO,2008,65.766,1669.179071
Latvia,LVA,2008,71.98,14332.6371
Lebanon,LBN,2008,78.245,4452.734822
Lesotho,LSO,2008,45.593,1951.902565
Liberia,LBR,2008,58.114,801.5985188
Libya,LBY,2008,74.184,2993.563377
Lithuania,LTU,2008,71.69,12666.73492
Luxembourg,LUX,2008,80.48,#N/A
Macao,MAC,2008,79.211,#N/A
Macedonia,MKD,2008,74.358,6055.142235
Madagascar,MDG,2008,62.228,741.5173116
Malawi,MWI,2008,51.556,662.246941
Malaysia,MYS,2008,74.046,9880.324042
Maldives,MDV,2008,75.547,#N/A
Mali,MLI,2008,52.705,1017.907741
Martinique,MTQ,2008,80.106,#N/A
Mauritania,MRT,2008,60.663,1299.210163
Mauritius,MUS,2008,72.762,14529.24174
Mayotte,MYT,2008,77.944,#N/A
Mexico,MEX,2008,74.1,7977.506516
Micronesia (country),FSM,2008,68.348,#N/A
Moldova,MDA,2008,68.239,4036.529919
Mongolia,MNG,2008,66.143,1001.308042
Montenegro,MNE,2008,74.198,7408.190727
Morocco,MAR,2008,69.656,3782.256223
Mozambique,MOZ,2008,48.353,2399.486578
Myanmar,MMR,2008,64.161,#N/A
Namibia,NAM,2008,60.05,4570.853496
Nepal,NPL,2008,65.945,1133.881099
Netherlands,NLD,2008,80.38,#N/A
New Caledonia,NCL,2008,75.155,#N/A
