Calendar Year,Utility Patent Application (Inventions),Design Patent Applications,Plant Patent Applications,Utility Patents,Design Patents,Plant Patents,Patent Grants to Foreign Residents
2015,589410,39097,1140,298407,25986,1074,169763
2014,578802,35378,1063,300678,23657,1072,166999
2013,571612,36034,1406,277835,23468,847,154891
2012,542815,32799,1149,253155,21951,860,142180
2011,503582,30467,1139,224505,21356,823,125998
2010,490226,29059,992,219614,22799,981,122694
2009,456106,25806,959,167349,23116,1009,96677
2008,456321,27782,1209,157772,25565,1240,92929
2007,456154,27752,1049,157282,24062,1047,89007
2006,425967,25515,1151,173772,20965,1149,93942
2005,390733,25553,1222,143806,12951,716,75046
2004,356943,23975,1221,164290,15695,1016,87051
2003,342441,22602,1000,169023,16574,994,88258
2002,334445,20904,1144,167331,15451,1133,87101
2001,326508,18280,944,166035,16871,584,85173
2000,295926,18292,797,157494,17413,548,78871
1999,270187,17761,863,153485,14732,420,74877
1998,243062,17107,720,147517,14766,561,72398
1997,215257,16546,621,111984,11414,394,54107
1996,195187,15161,665,109645,11410,362,52267
1995,212377,15409,452,101419,11712,387,49327
1994,189857,15774,459,101676,11095,499,49224
1993,174743,13635,361,98342,10630,442,48531
1992,173075,13078,354,97444,9269,321,48572
1991,164306,13061,463,96511,9569,353,48944
1990,164558,11288,418,90365,8024,318,46094
1989,152750,12615,383,95537,6092,587,47804
1988,139825,11289,377,77924,5679,425,39625
1987,127917,11153,385,82952,5959,229,41588
1986,122433,9912,320,70860,5518,224,34780
1985,117006,9551,231,71661,5066,242,33796
1984,111284,8739,253,67200,4938,212,30388
1983,103703,8082,255,56860,4563,197,25334
1982,109625,8174,188,57888,4944,173,25534
1981,106413,7375,178,65771,4745,183,27757
1980,104329,7830,220,61819,3949,117,25392
1979,100494,7519,196,48854,3119,131,19462
1978,100916,7538,194,66102,3862,186,25715
1977,100931,7258,188,65269,3929,173,24684
1976,102344,7061,175,70226,4564,176,27134
1975,101014,6292,150,72000,4282,150,36271
1974,102538,5318,155,76278,4304,261,26514
1973,104079,5425,118,74143,4033,132,23344
1972,99298,5867,135,74810,2901,199,23815
1971,104729,6211,155,78317,3156,71,22850
1970,103175,5996,188,64429,3214,52,17872
1969,98750,5496,111,67559,3335,103,17573
1968,93471,5171,95,59104,3352,72,13722
1967,85697,4744,103,65652,3165,85,14711
1966,88525,4853,104,68405,3188,114,14008
1965,94629,5413,108,62857,3424,120,12525
1964,87592,5259,120,47375,2686,128,8966
1963,85869,4968,145,45679,2965,129,8505
1962,85029,4897,151,55691,2300,91,10112
1961,83100,4714,107,48368,2488,108,8214
1960,79590,4525,131,47169,2543,116,7698
1959,78594,4879,114,52408,2769,101,8340
1958,77495,4923,134,48330,2375,130,7395
1957,74197,4714,101,42745,2362,129,6282
1956,74906,4824,104,46816,2977,101,6646
1955,77188,5764,118,30432,2713,103,4065
1954,77185,5465,95,33809,2536,101,4433
1953,72284,5450,99,40467,2714,78,4331
1952,64554,4993,84,43616,2959,101,5635
1951,60438,4279,71,44326,4164,58,4888
1950,67264,6739,105,43039,4718,90,4408
1949,67592,6998,70,35131,4451,93,3105
1948,68740,7048,59,23961,3968,44,1984
1947,75443,7644,92,20139,2102,52,1617
1946,81056,10698,72,21805,2779,56,1656
1945,67846,8066,52,25694,3524,17,2112
1944,54190,5063,42,28053,2916,38,2564
1943,45493,2986,41,31054,2229,47,2625
1942,45549,4218,60,38449,3728,65,3943
1941,52339,7203,67,41108,6486,62,5311
1940,60863,8530,91,42237,6145,85,6148
1939,64093,7137,76,43073,5593,45,6338
1938,66874,8084,48,38062,5027,41,5776
1937,65324,7207,45,37683,5137,55,5638
1936,62599,6478,66,39783,4556,49,5734
1935,58117,5728,72,40618,3866,45,5980
1934,56643,4399,28,44419,2921,32,6489
1933,56558,3600,27,48774,2411,33,7170
1932,67006,4345,46,53458,2944,46,7376
1931,79740,4190,37,51756,2937,5,6897
1930,89554,4182,16,45226,2712,,6085
1929,89752,4520,,45267,2907,,5921
1928,87603,4761,,42326,3188,,5218
1927,87219,4473,,41718,2387,,4918
1926,81365,4343,,44733,2602,,5103
1925,80208,4082,,46432,2824,,5347
1924,76987,3635,,42572,2671,,4723
1923,76783,3550,,38614,1927,,4133
1922,83962,4763,,38361,1627,,4455
1921,87467,5596,,37792,3277,,3963
1920,81915,4660,,37057,2485,,3762
1919,76710,3627,,36795,1523,,3687
1918,57347,2234,,38450,1207,,2883
1917,67590,2545,,40927,1512,,3209
1916,68075,2684,,43892,1759,,3767
1915,67138,2734,,43117,1545,,4334
1914,67774,2454,,39899,1715,,4595
1913,68117,2060,,33915,1683,,4212
1912,68969,1850,,36196,1342,,4489
1911,67370,1534,,32855,1010,,4058
1910,63293,1155,,35130,639,,3719
1909,64408,1234,,36562,687,,3812
1908,60142,1131,,32736,757,,3338
1907,57679,896,,35860,589,,3866
1906,55471,806,,31169,625,,3471
1905,54034,781,,29777,486,,3292
1904,51168,818,,30259,557,,3285
1903,49289,770,,31032,536,,3763
1902,48320,1170,,27121,640,,3499
1901,43973,2361,,25554,1734,,3402
1900,39673,2225,,24656,1758,,3483
1899,38937,2400,,23288,2139,,3311
1898,33915,1843,,20375,1803,,2752
1897,45661,2150,,22065,1631,,2221
1896,42077,1828,,21825,1445,,2027
1895,39145,1463,,20855,1115,,2049
1894,36987,1357,,19833,928,,2166
1893,37293,1060,,22747,902,,2473
1892,39514,1130,,22645,817,,2051
1891,39418,1025,,22310,836,,1928
